sample_type,label,max_drawdown
random_same_length,MR_1999_014,-0.015764268268834702
random_same_length,MR_1999_014,-0.06632384549346182
random_same_length,MR_1999_014,-0.02482517373944415
random_same_length,MR_1999_014,-0.039375151889503246
random_same_length,MR_1999_014,-0.013136009612691457
random_same_length,MR_1999_014,-0.035141303570489835
random_same_length,MR_1999_014,-0.012503712568661784
random_same_length,MR_1999_014,-0.026976789825357006
random_same_length,MR_1999_014,-0.06196893672083359
mercury_retrograde,MR_1999_015,-0.08351540604437235
random_same_length,MR_1999_015,-0.02008455608940507
random_same_length,MR_1999_015,-0.016126534744455467
random_same_length,MR_1999_015,-0.09032065062760553
random_same_length,MR_1999_015,-0.09114344060799795
random_same_length,MR_1999_015,-0.15257271907236514
random_same_length,MR_1999_015,-0.016148008377126266
random_same_length,MR_1999_015,-0.07165818413466718
random_same_length,MR_1999_015,-0.010430684796277734
random_same_length,MR_1999_015,-0.0124780022540123
random_same_length,MR_1999_015,-0.02806468784310845
random_same_length,MR_1999_015,-0.04800734623283898
random_same_length,MR_1999_015,-0.02845764936856876
random_same_length,MR_1999_015,-0.02178342845217529
random_same_length,MR_1999_015,-0.007988104862742484
random_same_length,MR_1999_015,-0.01029366982709512
random_same_length,MR_1999_015,-0.02090774493578873
random_same_length,MR_1999_015,-0.017733277845877526
random_same_length,MR_1999_015,-0.25884596484915945
random_same_length,MR_1999_015,-0.010344584102318533
random_same_length,MR_1999_015,-0.009765395833420065
mercury_retrograde,MR_1999_016,-0.014246163061285788
random_same_length,MR_1999_016,-0.027883376047488584
random_same_length,MR_1999_016,-0.01912643951129467
random_same_length,MR_1999_016,-0.0008743023990606114
random_same_length,MR_1999_016,-0.023508472049782347
random_same_length,MR_1999_016,-0.004947922948427275
random_same_length,MR_1999_016,-0.030632740074721054
random_same_length,MR_1999_016,-0.02434321296950326
random_same_length,MR_1999_016,-0.05023025362361
random_same_length,MR_1999_016,-0.012003029190539971
random_same_length,MR_1999_016,-0.0370168570996664
random_same_length,MR_1999_016,-0.028188196523284192
random_same_length,MR_1999_016,-0.031021905387579984
random_same_length,MR_1999_016,-0.1000384271479785
random_same_length,MR_1999_016,-0.011756220857560562
random_same_length,MR_1999_016,-0.08796093445729658
random_same_length,MR_1999_016,-0.03771992121930001
random_same_length,MR_1999_016,-0.007822522870119086
random_same_length,MR_1999_016,-0.003972484039719171
random_same_length,MR_1999_016,-0.013478359436903342
random_same_length,MR_1999_016,-0.011560763746298108
mercury_retrograde,MR_2000_017,-0.03800112630708408
random_same_length,MR_2000_017,-0.02694859529013005
random_same_length,MR_2000_017,-0.03246481531174805
random_same_length,MR_2000_017,-0.03977475384036655
random_same_length,MR_2000_017,-0.04333922234547616
random_same_length,MR_2000_017,-0.023750503295482117
random_same_length,MR_2000_017,-0.044852120826751496
random_same_length,MR_2000_017,-0.05656296266145877
random_same_length,MR_2000_017,-0.03398950696744918
random_same_length,MR_2000_017,-0.030632740074721054
random_same_length,MR_2000_017,-0.04081295919400363
random_same_length,MR_2000_017,-0.022363878081596122
random_same_length,MR_2000_017,-0.007148935149106084
random_same_length,MR_2000_017,-0.02282832567272708
random_same_length,MR_2000_017,-0.014754827521051062
random_same_length,MR_2000_017,-0.037518097648120086
random_same_length,MR_2000_017,-0.03701298803768993
random_same_length,MR_2000_017,-0.0729576321910187
random_same_length,MR_2000_017,-0.009554473518865292
random_same_length,MR_2000_017,-0.03420085147865082
random_same_length,MR_2000_017,-0.021853501894386507
mercury_retrograde,MR_2000_018,-0.015862145960052088
random_same_length,MR_2000_018,-0.009354426551109074
random_same_length,MR_2000_018,-0.01612600520646068
random_same_length,MR_2000_018,-0.010944667736138669
random_same_length,MR_2000_018,-0.0274830670741828
random_same_length,MR_2000_018,-0.019725723649118176
random_same_length,MR_2000_018,-0.09035484522497794
random_same_length,MR_2000_018,-0.02396418669811673
random_same_length,MR_2000_018,-0.01911191118539224
random_same_length,MR_2000_018,-0.05014565567851659
random_same_length,MR_2000_018,-0.03800112630708408
random_same_length,MR_2000_018,-0.09603541776714752
random_same_length,MR_2000_018,-0.02429099170073379
random_same_length,MR_2000_018,-0.012011568021868757
random_same_length,MR_2000_018,-0.04908977997631381
random_same_length,MR_2000_018,-0.026960270776822948
random_same_length,MR_2000_018,-0.025821825694385292
random_same_length,MR_2000_018,-0.06632384549346182
random_same_length,MR_2000_018,-0.06432429233590853
random_same_length,MR_2000_018,-0.03418867874438691
random_same_length,MR_2000_018,-0.0312970600453546
mercury_retrograde,MR_2000_019,-0.024096517032682008
random_same_length,MR_2000_019,-0.008561024934316985
random_same_length,MR_2000_019,-0.03582996088290591
random_same_length,MR_2000_019,-0.038328085135533874
random_same_length,MR_2000_019,-0.02455110099464375
random_same_length,MR_2000_019,-0.12405174481188597
random_same_length,MR_2000_019,-0.022762345961115593
random_same_length,MR_2000_019,-0.04334403799778086
random_same_length,MR_2000_019,-0.012003029190539971
random_same_length,MR_2000_019,-0.009765395833420065
random_same_length,MR_2000_019,-0.018974501239482744
random_same_length,MR_2000_019,-0.00660614672274995
random_same_length,MR_2000_019,-0.04331532887684042
random_same_length,MR_2000_019,-0.06808001122847407
random_same_length,MR_2000_019,-0.00784800856678991
random_same_length,MR_2000_019,-0.05642412447628098
random_same_length,MR_2000_019,-0.03401202080457255
random_same_length,MR_2000_019,-0.10159530548956275
random_same_length,MR_2000_019,-0.015889251056401266
random_same_length,MR_2000_019,-0.005280026754758582
random_same_length,MR_2000_019,-0.03036330550233257
mercury_retrograde,MR_2001_020,-0.08007772854821504
random_same_length,MR_2001_020,-0.007227744847586148
random_same_length,MR_2001_020,-0.01911191118539224
random_same_length,MR_2001_020,-0.04248636509769299
random_same_length,MR_2001_020,-0.08448697916213344
random_same_length,MR_2001_020,-0.036760488293032356
random_same_length,MR_2001_020,-0.020438092707149136
random_same_length,MR_2001_020,-0.031202111245658082
random_same_length,MR_2001_020,-0.027128487346559593
random_same_length,MR_2001_020,-0.06351176403407166
random_same_length,MR_2001_020,-0.015165359247206966
random_same_length,MR_2001_020,-0.015889251056401266
random_same_length,MR_2001_020,-0.007850896073774427
random_same_length,MR_2001_020,-0.035697789596499274
random_same_length,MR_2001_020,-0.012332078852067663
random_same_length,MR_2001_020,-0.003038961131093032
random_same_length,MR_2001_020,-0.045993385451217006
random_same_length,MR_2001_020,-0.024143630717334053
random_same_length,MR_2001_020,-0.09239142733525607
random_same_length,MR_2001_020,-0.020150954880819083
random_same_length,MR_2001_020,-0.02282832567272708
